"","age","renta","clients3clusters.cluster"
"1",46,110388.366726524,1
"2",39,115893.36,1
"3",40,125194.35,1
"4",40,98755.26,2
"5",43,56296.26,4
"6",25,85915.05,2
"7",27,43202.67,4
"8",23,46997.13,4
"9",61,108857.1,1
"10",60,110388.366726524,1
"11",44,159943.26,1
"12",80,98510.46,2
"13",25,110388.366726524,1
"14",34,60304.86,4
"15",26,110388.366726524,1
"16",24,159611.79,1
"17",86,65196.51,4
"18",80,215939.04,3
"19",22,110388.366726524,1
"20",21,101617.5,1
"21",51,118381.41,1
"22",29,250349.31,3
"23",51,196284.12,3
"24",98,33034.62,4
"25",66,122492.55,1
"26",34,110388.366726524,1
"27",21,163266.99,1
"28",45,125143.44,1
"29",46,110388.366726524,1
"30",47,165227.43,3
"31",28,110388.366726524,1
"32",22,110388.366726524,1
"33",69,221896.98,3
"34",30,110388.366726524,1
"35",39,110388.366726524,1
"36",20,110388.366726524,1
"37",27,60226.98,4
"38",58,110388.366726524,1
"39",24,91789.86,2
"40",20,64171.14,4
"41",47,142546.59,1
"42",22,110388.366726524,1
"43",45,100053.12,1
"44",26,62155.05,4
"45",74,64662.36,4
"46",51,146038.92,1
"47",54,169836.06,3
"48",83,50004.9,4
"49",41,75904.62,2
"50",22,110388.366726524,1
"51",52,110388.366726524,1
"52",55,173219.28,3
"53",45,41712.9,4
"54",70,49905.63,4
"55",25,107484.75,1
"56",36,60285.39,4
"57",43,121672.83,1
"58",38,99746.73,2
"59",53,82049.28,2
"60",58,186289.77,3
"61",59,169686.69,3
"62",9,171932.7,3
"63",53,119138.61,1
"64",30,89094.63,2
"65",25,39300.15,4
"66",43,112048.35,1
"67",24,110388.366726524,1
"68",25,121395.06,1
"69",29,139876.95,1
"70",38,146164.68,1
"71",42,110388.366726524,1
"72",20,101124.54,1
"73",48,110388.366726524,1
"74",23,128929.74,1
"75",44,110388.366726524,1
"76",27,56359.2,4
"77",41,49653.03,4
"78",26,138466.2,1
"79",46,76402.8,2
"80",38,110388.366726524,1
"81",20,57408.96,4
"82",35,48947.76,4
"83",40,44685.21,4
"84",45,89567.04,2
"85",22,110388.366726524,1
"86",49,110388.366726524,1
"87",43,117570.3,1
"88",44,110388.366726524,1
"89",32,39725.52,4
"90",45,122243.88,1
"91",23,131796.18,1
"92",73,110388.366726524,1
"93",60,123930.81,1
"94",37,48237.06,4
